‽Sisters‽,‽32‽,‽587‽,‽31‽
‽Alvin and the Chipmunks: The Road Chip‽,‽2‽,‽63‽,‽1‽
‽Maurizio Cattelan: Be Right Back‽,‽2‽,‽96‽,‽3‽
‽In Search of Israeli Cuisine‽,‽3‽,‽99‽,‽1‽
‽Accidental Courtesy: Daryl Davis, Race & America‽,‽3‽,‽81‽,‽2‽
‽Paterson‽,‽24‽,‽393‽,‽4‽
‽Toni Erdmann‽,‽10‽,‽150‽,‽3‽
‽Dangal‽,‽5‽,‽90‽,‽0‽
‽Why Him?‽,‽4‽,‽94‽,‽5‽
‽Julieta‽,‽19‽,‽376‽,‽14‽
‽Passengers‽,‽10‽,‽188‽,‽12‽
‽Sing‽,‽13‽,‽217‽,‽5‽
‽Fences‽,‽18‽,‽537‽,‽19‽
‽Neruda‽,‽17‽,‽204‽,‽15‽
‽Collateral Beauty‽,‽11‽,‽193‽,‽9‽
‽Short Stay‽,‽1‽,‽89‽,‽6‽
‽Two Lovers and a Bear‽,‽6‽,‽84‽,‽1‽
‽The Wasted Times‽,‽1‽,‽64‽,‽3‽
‽Rogue One: A Star Wars Story‽,‽37‽,‽432‽,‽18‽
‽After Auschwitz‽,‽5‽,‽86‽,‽4‽
‽Breaking Point: The War for Democracy in Ukraine‽,‽4‽,‽103‽,‽8‽
‽The Last Family‽,‽3‽,‽117‽,‽5‽
‽In the Fade‽,‽11‽,‽234‽,‽12‽
‽All the Money in the World‽,‽18‽,‽286‽,‽12‽
‽Phantom Thread‽,‽18‽,‽290‽,‽6‽
‽Happy End‽,‽14‽,‽207‽,‽7‽
‽Father Figures‽,‽5‽,‽73‽,‽2‽
‽Bright‽,‽4‽,‽60‽,‽0‽
‽Downsizing‽,‽20‽,‽338‽,‽17‽
‽A German Life‽,‽1‽,‽61‽,‽1‽
‽Crooked House‽,‽2‽,‽51‽,‽5‽
‽Hangman‽,‽1‽,‽68‽,‽4‽
‽Pitch Perfect 3‽,‽3‽,‽105‽,‽3‽
‽The Greatest Showman‽,‽8‽,‽99‽,‽1‽
‽Jumanji: Welcome to the Jungle‽,‽5‽,‽168‽,‽8‽
‽Permanent‽,‽6‽,‽96‽,‽2‽
‽The Rape of Recy Taylor‽,‽2‽,‽67‽,‽3‽
‽Prisoners of the Sun‽,‽23‽,‽568‽,‽28‽
‽Eating‽,‽45‽,‽741‽,‽22‽
‽The Killer‽,‽25‽,‽546‽,‽28‽
‽Misplaced‽,‽30‽,‽533‽,‽27‽
‽Kindergarten Cop‽,‽42‽,‽756‽,‽26‽
‽The Bonfire of the Vanities‽,‽47‽,‽1080‽,‽43‽
‽The Russia House‽,‽32‽,‽837‽,‽22‽
‽Almost an Angel‽,‽21‽,‽335‽,‽8‽
‽Mermaids‽,‽38‽,‽678‽,‽12‽
‽Look Who's Talking Too‽,‽20‽,‽758‽,‽16‽
‽The Sheltering Sky‽,‽67‽,‽1383‽,‽38‽
‽Havana‽,‽51‽,‽923‽,‽30‽
‽The Rookie‽,‽15‽,‽449‽,‽18‽
‽Edward Scissorhands‽,‽53‽,‽937‽,‽28‽
‽Company Business‽,‽11‽,‽358‽,‽9‽
‽Final Approach‽,‽10‽,‽411‽,‽6‽
‽Paper Mask‽,‽30‽,‽604‽,‽13‽
‽Close My Eyes‽,‽18‽,‽662‽,‽15‽
‽Daughters of the Dust‽,‽10‽,‽626‽,‽16‽
‽The Inner Circle‽,‽24‽,‽632‽,‽21‽
‽The Prince of Tides‽,‽51‽,‽994‽,‽19‽
‽Until the End of the World‽,‽29‽,‽903‽,‽22‽
‽Father of the Bride‽,‽36‽,‽830‽,‽12‽
‽Bugsy‽,‽71‽,‽1241‽,‽31‽
‽The Last Boy Scout‽,‽37‽,‽738‽,‽27‽
‽Hook‽,‽64‽,‽1223‽,‽41‽
‽The Double Life of Veronique‽,‽32‽,‽834‽,‽15‽
‽Young Soul Rebels‽,‽17‽,‽575‽,‽24‽
‽At Play in the Fields of the Lord‽,‽51‽,‽886‽,‽31‽
‽Kafka‽,‽34‽,‽826‽,‽29‽
‽My Girl‽,‽35‽,‽696‽,‽21‽
‽For the Boys‽,‽42‽,‽969‽,‽17‽
‽Dingo‽,‽14‽,‽566‽,‽10‽
‽Herman‽,‽33‽,‽506‽,‽14‽
‽Trespass‽,‽17‽,‽467‽,‽14‽
‽Peter's Friends‽,‽41‽,‽677‽,‽18‽
‽Hoffa‽,‽61‽,‽1455‽,‽48‽
‽Indochine‽,‽50‽,‽1010‽,‽25‽
‽Toys‽,‽64‽,‽1182‽,‽47‽
‽Leap of Faith‽,‽69‽,‽968‽,‽27‽
‽Forever Young‽,‽45‽,‽729‽,‽15‽
‽Passion Fish‽,‽54‽,‽827‽,‽17‽
‽A Few Good Men‽,‽64‽,‽1080‽,‽33‽
‽The Muppet Christmas Carol‽,‽32‽,‽583‽,‽9‽
‽The Distinguished Gentleman‽,‽52‽,‽920‽,‽18‽
‽The Bodyguard‽,‽40‽,‽844‽,‽30‽
‽Home Alone 2: Lost in New York‽,‽58‽,‽1160‽,‽48‽
